Rank,Player,Position,Position Rank,School,Class,Height,Weight,Projected Round
1,Jadeveon Clowney,DE,1,South Carolina,Jr,6-5,266,1
2,Greg Robinson,OT,1,Auburn,rSo,6-5,332,1
3,Blake Bortles,QB,1,UCF,rJr,6-5,232,1
4,Sammy Watkins,WR,1,Clemson,Jr,6-1,211,1
5,Jake Matthews,OT,2,Texas A&M,Sr,6-6,308,1
6,Khalil Mack,OLB,1,Buffalo,rSr,6-3,251,1
7,Johnny Manziel,QB,2,Texas A&M,rSo,6-1,207,1
8,Anthony Barr,OLB,2,UCLA,Sr,6-5,255,1
9,Teddy Bridgewater,QB,3,Louisville,Jr,6-2,214,1
10,Justin Gilbert,CB,1,Oklahoma State,Sr,6-1,202,1
11,Eric Ebron,TE,1,North Carolina,Jr,6-4,250,1
12,Taylor Lewan,OT,3,Michigan,rSr,6-7,309,1
13,Mike Evans,WR,2,Texas A&M,rSo,6-5,231,1
14,Aaron Donald,DT,1,Pittsburgh,Sr,6-1,285,1
15,Zack Martin,OT,4,Notre Dame,rSr,6-4,308,1
16,Darqueze Dennard,CB,2,Michigan State,Sr,5-11,199,1
17,Hasean Clinton-Dix,FS,1,Alabama,Jr,6-1,208,1
18,Timmy Jernigan,DT,2,Florida State,Jr,6-2,299,1
19,Odell Beckham Jr.,WR,3,LSU,Jr,5-11,198,1
20,Calvin Pryor,FS,2,Louisville,Jr,5-11,207,1
21,Brandin Cooks,WR,4,Oregon State,Jr,5-10,189,1
22,Kony Ealy,DE,2,Missouri,rJr,6-4,273,1
23,C.J. Mosley,ILB,1,Alabama,Sr,6-2,234,1
24,Louis Nix,DT,3,Notre Dame,rJr,6-2,331,1
25,Xavier Su'a-Filo,OG,1,UCLA,rJr,6-4,307,1
26,Derek Carr,QB,4,Fresno State,rSr,6-2,214,2-Jan
27,Kyle Fuller,CB,3,Virginia Tech,Sr,6-1,190,2-Jan
28,Marqise Lee,WR,5,Southern California,Jr,6-1,192,2-Jan
29,Ryan Shazier,OLB,3,Ohio State,Jr,6-1,237,2-Jan
